months_as_customer,age,insured_sex,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_state,incident_city,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
160,37,FEMALE,OH,500,1374.22,0,MD,craft-repair,yachting,45500,-37800,2015-01-19,NY,Northbrook,YES,1,0,NO,72930,6630,13260,53040,N
196,39,FEMALE,IN,2000,1475.73,0,High School,handlers-cleaners,camping,57000,-27300,2015-02-22,VA,Columbus,?,2,0,NO,60400,6040,6040,48320,N
460,62,MALE,IN,1000,1187.96,4000000,JD,other-service,bungie-jumping,0,0,2015-01-01,NY,Columbus,NO,1,0,?,47160,0,5240,41920,N
217,41,FEMALE,IL,2000,875.15,0,Associate,machine-op-inspct,skydiving,46700,0,2015-02-10,SC,Arlington,?,1,2,?,37840,0,4730,33110,N
370,55,MALE,IL,2000,972.18,0,High School,prof-specialty,paintball,72700,-68200,2015-01-11,SC,Hillsdale,NO,0,0,YES,71520,17880,5960,47680,Y
413,55,MALE,IN,2000,1268.79,0,MD,priv-house-serv,chess,0,-31000,2015-01-19,WV,Northbend,?,2,2,?,98160,8180,16360,73620,Y
237,40,MALE,IN,1000,883.31,0,College,craft-repair,kayaking,0,-53500,2015-02-24,VA,Riverwood,NO,1,3,NO,77880,7080,14160,56640,N
8,35,MALE,OH,2000,1266.92,0,Masters,sales,polo,0,0,2015-01-09,OH,Arlington,NO,1,3,YES,71500,16500,11000,44000,Y
257,43,MALE,IN,2000,1322.1,0,High School,prof-specialty,golf,0,-29200,2015-01-28,PA,Arlington,YES,1,3,YES,9020,1640,820,6560,N
202,34,MALE,IN,500,848.07,3000000,JD,exec-managerial,chess,31000,-30200,2015-01-07,VA,Northbrook,YES,2,1,?,5720,1040,520,4160,Y
224,40,FEMALE,OH,2000,1291.7,0,JD,sales,kayaking,0,-55600,2015-01-08,SC,Northbend,NO,1,0,YES,69840,7760,15520,46560,N
241,45,FEMALE,IL,2000,1104.5,0,PhD,machine-op-inspct,basketball,0,0,2015-02-15,SC,Northbrook,NO,2,2,NO,91650,14100,14100,63450,N
64,25,MALE,IL,1000,954.16,0,Masters,prof-specialty,video-games,53200,0,2015-01-18,SC,Columbus,NO,0,0,?,75600,12600,12600,50400,N
166,37,MALE,IL,2000,1337.28,8000000,JD,craft-repair,reading,27500,0,2015-02-28,WV,Riverwood,NO,2,2,?,67140,7460,7460,52220,Y
155,35,FEMALE,IL,1000,1088.34,0,Associate,adm-clerical,yachting,81100,0,2015-02-24,NY,Arlington,YES,2,3,NO,29790,3310,3310,23170,N
114,30,MALE,IL,1000,1558.29,0,High School,farming-fishing,video-games,51400,-64000,2015-01-09,NY,Hillsdale,NO,1,2,?,77110,14020,14020,49070,N
149,37,MALE,IL,500,1415.68,0,PhD,prof-specialty,yachting,0,0,2015-02-12,WV,Hillsdale,YES,0,1,YES,64800,10800,5400,48600,N
147,33,MALE,OH,1000,1334.15,6000000,High School,craft-repair,reading,53300,-49200,2015-01-24,WV,Springfield,YES,2,0,YES,53100,10620,5310,37170,Y
62,28,FEMALE,IL,1000,988.45,0,Masters,protective-serv,camping,0,0,2015-01-09,NY,Northbrook,?,1,1,YES,60200,6020,6020,48160,Y
289,49,FEMALE,IL,2000,1222.48,0,JD,priv-house-serv,golf,0,0,2015-01-18,WV,Arlington,NO,1,1,YES,5330,1230,820,3280,N
431,54,FEMALE,IN,2000,1155.55,0,MD,craft-repair,bungie-jumping,65700,0,2015-01-21,NY,Hillsdale,?,2,0,?,62300,12460,6230,43610,N
199,37,MALE,IN,500,1262.08,0,JD,tech-support,video-games,48500,0,2015-01-08,NC,Columbus,?,0,3,NO,60170,10940,10940,38290,Y
79,26,MALE,IL,500,1451.62,0,Associate,tech-support,kayaking,0,-55700,2015-01-03,WV,Columbus,NO,2,2,?,40000,8000,4000,28000,N
116,34,MALE,IN,500,1737.66,0,Associate,transport-moving,chess,0,-24100,2015-01-01,WV,Northbrook,?,1,1,?,97080,16180,16180,64720,Y
37,23,FEMALE,IL,500,1475.93,0,College,prof-specialty,hiking,0,-67400,2015-01-16,SC,Springfield,YES,1,0,NO,51660,5740,5740,40180,N
106,30,FEMALE,OH,500,538.17,0,PhD,transport-moving,reading,49700,-60200,2015-02-10,NC,Arlington,NO,2,2,NO,51120,5680,5680,39760,N
269,44,MALE,IL,2000,1081.08,0,JD,priv-house-serv,reading,36400,-28700,2015-02-14,SC,Springfield,YES,0,2,?,56400,11280,11280,33840,N
265,40,FEMALE,IL,1000,1454.43,0,MD,protective-serv,yachting,0,0,2015-02-21,NY,Arlington,NO,2,3,?,55120,6890,0,48230,N
163,33,FEMALE,IN,500,1240.47,0,Associate,other-service,polo,35300,0,2015-02-18,NC,Northbend,YES,1,1,?,77110,0,14020,63090,N
355,47,MALE,OH,2000,1273.7,4000000,College,other-service,kayaking,0,0,2015-01-10,WV,Arlington,NO,2,1,NO,62800,6280,6280,50240,Y
175,34,FEMALE,IN,1000,1123.87,8000000,PhD,protective-serv,dancing,0,0,2015-02-26,NY,Arlington,?,2,0,YES,7290,810,810,5670,N
192,35,FEMALE,IL,1000,1245.89,0,Masters,exec-managerial,movies,0,-40300,2015-01-01,WV,Springfield,NO,0,0,?,76600,15320,7660,53620,N
430,59,MALE,OH,2000,1326.62,7000000,MD,other-service,bungie-jumping,0,0,2015-01-03,NY,Riverwood,?,0,3,YES,81800,16360,8180,57260,N
91,27,FEMALE,IL,2000,1073.83,0,JD,farming-fishing,polo,0,0,2015-01-17,NY,Arlington,?,1,2,?,7260,1320,660,5280,N
217,39,MALE,IN,1000,1530.52,0,College,armed-forces,basketball,0,0,2015-02-22,WV,Northbend,?,2,1,YES,4300,430,430,3440,N
223,40,FEMALE,IN,500,1201.41,0,JD,priv-house-serv,movies,88400,-46500,2015-01-27,NC,Columbus,YES,1,0,?,70510,12820,12820,44870,N
195,39,MALE,OH,1000,1393.57,0,PhD,machine-op-inspct,movies,47600,-39600,2015-02-27,VA,Northbend,NO,0,1,YES,2640,480,480,1680,N
22,26,MALE,OH,1000,1276.57,0,PhD,craft-repair,skydiving,71500,0,2015-01-06,NY,Arlington,YES,1,2,NO,78900,15780,7890,55230,N
439,56,FEMALE,IN,500,1082.49,0,PhD,prof-specialty,chess,36100,-55000,2015-02-28,SC,Columbus,?,2,3,?,56430,0,6270,50160,N
94,32,FEMALE,IN,1000,1414.74,0,Masters,adm-clerical,hiking,0,0,2015-02-22,VA,Riverwood,NO,1,3,NO,2400,300,300,1800,N
11,39,MALE,IL,2000,1470.06,0,PhD,other-service,yachting,56600,-45800,2015-01-07,WV,Riverwood,YES,0,1,NO,65790,7310,7310,51170,N
151,36,FEMALE,OH,2000,870.63,0,MD,adm-clerical,kayaking,94800,-58500,2015-01-06,VA,Hillsdale,NO,1,1,NO,62920,11440,5720,45760,N
154,34,MALE,IN,500,795.23,0,PhD,machine-op-inspct,base-jumping,36900,0,2015-01-10,NY,Springfield,YES,2,1,?,69480,15440,0,54040,Y
245,44,MALE,IL,1000,1168.2,0,JD,handlers-cleaners,basketball,69100,0,2015-02-11,OH,Springfield,NO,0,3,NO,44280,7380,3690,33210,N
119,32,MALE,IL,1000,993.51,0,High School,armed-forces,bungie-jumping,0,-49500,2015-01-12,WV,Hillsdale,NO,0,3,YES,56300,5630,11260,39410,N
215,42,MALE,OH,500,1848.81,0,JD,transport-moving,video-games,0,-49000,2015-02-06,WV,Northbend,YES,2,2,YES,68520,11420,5710,51390,Y
295,42,MALE,OH,2000,1641.73,5000000,PhD,sales,chess,62400,0,2015-01-20,VA,Riverwood,NO,0,0,NO,59130,6570,6570,45990,Y
254,39,FEMALE,IN,500,1362.87,0,MD,exec-managerial,chess,35700,0,2015-02-22,NY,Arlington,YES,2,2,NO,82320,13720,6860,61740,Y
107,31,FEMALE,IN,500,1239.22,7000000,High School,tech-support,paintball,43400,-91200,2015-01-30,SC,Springfield,YES,0,1,NO,89700,13800,13800,62100,Y
478,64,FEMALE,OH,500,835.02,0,Associate,adm-clerical,reading,59600,0,2015-02-02,WV,Hillsdale,NO,1,1,NO,33930,0,3770,30160,N
128,30,MALE,OH,1000,1061.33,0,MD,machine-op-inspct,movies,43300,-66200,2015-01-10,WV,Northbrook,NO,0,3,NO,68530,12460,6230,49840,N
338,49,MALE,IN,1000,1279.08,0,MD,other-service,kayaking,0,-51500,2015-02-27,NC,Riverwood,NO,0,1,?,4300,860,860,2580,N
271,42,FEMALE,OH,500,1105.49,0,Associate,prof-specialty,sleeping,56200,-50000,2015-02-20,SC,Hillsdale,?,2,3,?,68310,12420,6210,49680,Y
222,41,FEMALE,OH,2000,1055.53,0,MD,armed-forces,cross-fit,37800,-50300,2015-02-08,WV,Northbrook,NO,0,2,NO,61290,6810,6810,47670,Y
199,41,FEMALE,OH,1000,895.83,0,Associate,sales,paintball,0,0,2015-02-11,NC,Arlington,NO,1,2,NO,30100,3010,0,27090,N
215,37,FEMALE,IN,500,1632.93,0,College,transport-moving,golf,0,-42900,2015-02-23,SC,Riverwood,NO,2,0,YES,57120,9520,4760,42840,N
192,40,FEMALE,IL,1000,1405.99,0,Associate,sales,yachting,0,0,2015-03-01,VA,Springfield,YES,1,0,YES,42930,9540,4770,28620,N
120,35,FEMALE,OH,1000,1425.54,0,High School,transport-moving,bungie-jumping,78300,0,2015-01-15,SC,Riverwood,NO,2,0,NO,51210,11380,5690,34140,N
270,45,FEMALE,OH,1000,1038.09,0,College,handlers-cleaners,golf,0,-19700,2015-01-14,NY,Springfield,NO,1,1,YES,89400,14900,7450,67050,N
319,47,MALE,IN,500,1307.11,0,College,transport-moving,dancing,0,0,2015-02-17,WV,Northbrook,NO,0,2,?,59730,10860,10860,38010,N
194,39,FEMALE,OH,1000,1489.24,6000000,JD,other-service,kayaking,0,-45000,2015-01-24,SC,Springfield,YES,2,2,YES,8060,1240,1240,5580,N
227,38,FEMALE,OH,500,976.67,0,PhD,handlers-cleaners,polo,0,0,2015-01-21,SC,Northbrook,?,1,2,?,72200,14440,7220,50540,Y
137,31,MALE,OH,2000,1340.43,0,High School,exec-managerial,paintball,52700,-40600,2015-02-19,NC,Arlington,NO,1,2,NO,50800,10160,10160,30480,N
244,40,FEMALE,OH,2000,1267.81,5000000,Masters,exec-managerial,video-games,0,0,2015-01-03,NC,Northbrook,?,2,1,?,6600,660,1320,4620,N
78,29,MALE,IL,1000,1234.2,6000000,Masters,other-service,bungie-jumping,0,0,2015-01-29,NY,Northbrook,YES,2,2,NO,7500,750,1500,5250,N
200,35,MALE,IN,2000,1318.06,0,High School,exec-managerial,video-games,57300,-80600,2015-01-19,VA,Hillsdale,NO,0,3,YES,6490,1180,1180,4130,N
284,48,MALE,IN,2000,769.95,0,Masters,prof-specialty,movies,0,-44200,2015-01-19,NY,Hillsdale,?,2,3,NO,60940,5540,11080,44320,Y
275,41,MALE,OH,2000,1514.72,0,High School,transport-moving,board-games,35700,0,2015-02-02,NY,Northbrook,YES,0,1,?,58300,5830,11660,40810,N
153,34,FEMALE,IL,1000,873.64,4000000,Associate,priv-house-serv,yachting,800,0,2015-01-30,SC,Columbus,NO,2,1,?,68400,11400,11400,45600,N
134,32,FEMALE,IL,500,1612.43,0,MD,other-service,yachting,36400,0,2015-01-08,VA,Springfield,?,2,1,YES,64240,11680,11680,40880,N
31,36,FEMALE,IL,2000,1318.24,9000000,College,prof-specialty,kayaking,0,-78600,2015-01-30,WV,Arlington,NO,0,1,YES,4700,940,470,3290,N
41,25,FEMALE,IN,1000,1226.83,0,College,exec-managerial,exercise,0,-56100,2015-01-07,SC,Columbus,YES,2,0,?,45120,0,5640,39480,Y
127,29,FEMALE,OH,2000,1326.44,5000000,High School,sales,board-games,0,0,2015-02-24,SC,Arlington,YES,1,1,?,66950,10300,10300,46350,N
61,23,FEMALE,IL,2000,1136.83,4000000,Associate,tech-support,exercise,0,-62400,2015-02-02,NY,Columbus,NO,0,3,?,98340,8940,17880,71520,Y
207,42,MALE,IL,2000,1322.78,0,PhD,farming-fishing,yachting,55200,0,2015-02-28,WV,Springfield,NO,0,1,NO,5900,590,590,4720,N
219,43,FEMALE,IN,1000,1483.25,0,MD,exec-managerial,exercise,90700,-20800,2015-02-09,NC,Riverwood,NO,1,1,?,70680,5890,11780,53010,N
271,42,FEMALE,IL,500,1515.3,0,High School,machine-op-inspct,hiking,0,0,2015-01-19,SC,Northbend,NO,1,0,NO,93720,17040,8520,68160,N
80,25,FEMALE,IL,2000,1075.18,5000000,PhD,armed-forces,exercise,67700,-58400,2015-02-21,OH,Northbrook,NO,2,0,YES,6930,1260,630,5040,N
325,47,FEMALE,IN,1000,1690.27,0,Associate,protective-serv,hiking,61500,0,2015-01-14,VA,Springfield,YES,0,3,NO,72930,6630,6630,59670,Y
29,25,MALE,IL,2000,1352.83,0,Masters,farming-fishing,skydiving,0,-71700,2015-01-22,SC,Hillsdale,YES,1,2,YES,64890,7210,7210,50470,Y
295,48,FEMALE,OH,1000,1148.73,0,College,machine-op-inspct,kayaking,0,0,2015-02-22,WV,Columbus,?,1,2,YES,5400,900,900,3600,N
239,42,MALE,IL,1000,969.5,0,College,exec-managerial,reading,0,0,2015-01-26,NC,Northbrook,NO,0,0,?,5600,700,700,4200,N
269,41,FEMALE,IN,500,1463.82,0,College,protective-serv,yachting,0,-72300,2015-01-24,SC,Northbend,YES,0,0,?,79300,15860,15860,47580,N
80,27,FEMALE,IL,1000,1474.17,0,College,tech-support,exercise,0,0,2015-02-19,WV,Northbend,YES,1,0,YES,52800,10560,5280,36960,N
279,41,FEMALE,IL,500,1497.35,0,JD,prof-specialty,bungie-jumping,37300,-31700,2015-01-29,NC,Northbrook,?,2,3,NO,28800,0,3600,25200,N
165,33,FEMALE,OH,1000,1427.14,0,Associate,tech-support,kayaking,35300,-58100,2015-02-15,WV,Northbend,NO,1,1,NO,2970,330,330,2310,N
350,54,MALE,OH,500,1495.1,0,College,other-service,basketball,50500,0,2015-02-12,SC,Northbend,NO,0,0,?,93480,15580,7790,70110,N
295,49,MALE,IL,500,1141.62,0,College,prof-specialty,kayaking,34300,-24300,2015-01-01,WV,Columbus,YES,1,3,YES,4320,480,480,3360,N
464,61,FEMALE,OH,1000,1125.37,0,Associate,prof-specialty,basketball,0,-56400,2015-01-13,VA,Northbend,?,0,2,YES,79800,6650,19950,53200,Y
118,28,FEMALE,IN,2000,1207.36,0,High School,handlers-cleaners,camping,0,-57000,2015-03-01,WV,Columbus,NO,1,0,?,74200,7420,14840,51940,N
298,47,FEMALE,IL,2000,1338.5,0,PhD,machine-op-inspct,basketball,28800,0,2015-02-02,NY,Northbrook,?,0,0,?,70590,10860,10860,48870,Y
87,31,FEMALE,IN,1000,1074.07,0,Masters,sales,chess,0,-47500,2015-01-27,NY,Springfield,NO,0,3,YES,60940,5540,11080,44320,Y
261,42,FEMALE,OH,500,1337.56,0,College,prof-specialty,video-games,0,0,2015-01-12,SC,Riverwood,?,1,2,YES,74700,7470,14940,52290,N
453,60,MALE,IN,500,1298.91,6000000,PhD,craft-repair,dancing,52600,-38800,2015-01-06,NC,Springfield,YES,0,0,?,70000,14000,7000,49000,Y
210,41,MALE,IL,500,1222.75,0,High School,exec-managerial,polo,0,-41000,2015-01-30,WV,Columbus,?,2,0,NO,81070,14740,14740,51590,N
168,32,MALE,IN,1000,1059.52,0,MD,protective-serv,camping,0,-40600,2015-03-01,VA,Hillsdale,?,1,1,?,57720,14430,9620,33670,N
390,51,MALE,OH,2000,1124.38,0,Associate,armed-forces,reading,0,0,2015-02-24,VA,Northbrook,YES,1,1,YES,7080,1180,1180,4720,N
258,46,MALE,IN,1000,1110.37,10000000,MD,machine-op-inspct,hiking,34400,-56800,2015-01-24,NY,Riverwood,NO,0,1,?,47700,4770,9540,33390,Y
107,31,FEMALE,IL,2000,1374.22,0,PhD,machine-op-inspct,bungie-jumping,62000,-63100,2015-02-26,SC,Hillsdale,NO,0,3,NO,51260,9320,9320,32620,N
225,41,MALE,OH,2000,1103.58,0,High School,exec-managerial,exercise,41200,-36200,2015-01-19,NY,Northbend,?,2,2,NO,70400,6400,12800,51200,Y
164,38,FEMALE,IL,2000,1269.76,0,PhD,transport-moving,yachting,44300,0,2015-01-17,NY,Hillsdale,NO,1,3,YES,90000,18000,9000,63000,N
245,39,FEMALE,OH,500,964.79,8000000,Associate,adm-clerical,camping,58000,0,2015-02-20,NY,Arlington,?,0,1,?,72820,13240,6620,52960,N
255,41,MALE,IL,2000,1167.3,4000000,High School,priv-house-serv,board-games,0,0,2015-02-22,SC,Hillsdale,NO,2,0,?,69300,13860,13860,41580,N
206,36,FEMALE,IL,500,1625.45,4000000,MD,other-service,video-games,0,-53700,2015-01-23,NY,Northbrook,NO,2,1,NO,76560,12760,12760,51040,Y
203,38,FEMALE,IL,500,1394.43,0,Masters,other-service,skydiving,0,0,2015-01-31,VA,Columbus,?,0,1,YES,55440,0,6160,49280,Y
22,25,FEMALE,OH,2000,1053.24,0,College,prof-specialty,movies,51100,0,2015-01-05,NC,Arlington,YES,1,0,NO,77130,8570,17140,51420,N
211,35,FEMALE,IL,500,1040.75,0,JD,prof-specialty,paintball,0,0,2015-02-03,WV,Northbend,YES,1,1,?,42000,7000,7000,28000,N
206,39,MALE,IN,1000,1302.4,6000000,JD,craft-repair,dancing,47200,-69700,2015-02-17,NY,Hillsdale,NO,2,3,YES,36300,3300,9900,23100,N
166,38,MALE,IL,2000,1588.55,0,MD,protective-serv,video-games,59600,-32100,2015-01-09,WV,Columbus,NO,0,0,?,40320,5760,5760,28800,N
165,32,FEMALE,IN,500,1399.26,0,High School,tech-support,exercise,70500,0,2015-02-08,PA,Northbrook,?,2,0,?,3960,330,660,2970,N
274,43,MALE,OH,2000,1352.31,0,College,farming-fishing,basketball,40700,-47300,2015-02-06,NY,Northbend,YES,0,3,YES,63840,10640,10640,42560,Y
81,28,FEMALE,IL,1000,1139,6000000,Masters,sales,sleeping,42400,0,2015-01-14,SC,Northbend,?,1,2,?,44730,4970,4970,34790,Y
280,45,MALE,IN,1000,1397.67,0,JD,machine-op-inspct,camping,57900,0,2015-01-22,NY,Arlington,YES,1,2,NO,84720,14120,14120,56480,N
194,39,MALE,IN,500,823.17,0,Masters,adm-clerical,paintball,0,0,2015-02-23,WV,Columbus,?,2,2,NO,61500,6150,12300,43050,N
112,27,FEMALE,OH,500,965.13,0,Masters,tech-support,exercise,60000,-54800,2015-02-22,NC,Arlington,?,0,1,?,51000,8500,8500,34000,N
24,33,FEMALE,IL,1000,1922.84,0,High School,machine-op-inspct,skydiving,0,-45200,2015-01-24,WV,Northbend,?,2,1,NO,46800,4680,9360,32760,N
93,32,MALE,OH,2000,1624.82,0,PhD,exec-managerial,basketball,65300,-65600,2015-02-09,WV,Northbend,?,1,1,?,78120,17360,8680,52080,N
171,34,FEMALE,IN,2000,1277.25,0,College,exec-managerial,yachting,84900,0,2015-01-19,NY,Springfield,NO,1,2,?,69200,13840,6920,48440,Y
200,40,FEMALE,IL,1000,1439.34,0,High School,sales,exercise,45300,-20400,2015-01-01,VA,Riverwood,?,0,0,NO,3690,410,410,2870,N
120,28,FEMALE,IL,1000,1281.27,0,PhD,tech-support,golf,68900,0,2015-01-07,SC,Springfield,NO,0,3,?,65500,6550,6550,52400,N
325,46,FEMALE,IL,500,1348.83,0,High School,prof-specialty,basketball,46300,-77500,2015-02-01,NC,Springfield,?,1,2,YES,76120,13840,6920,55360,N
124,32,FEMALE,IL,1000,1198.15,0,MD,other-service,hiking,0,-43200,2015-02-21,VA,Springfield,NO,0,2,YES,73560,12260,12260,49040,N
211,35,MALE,OH,2000,1221.22,0,Masters,machine-op-inspct,camping,76000,0,2015-01-21,NY,Northbend,YES,0,1,?,52030,9460,4730,37840,N
287,41,MALE,IL,2000,968.74,0,Masters,transport-moving,video-games,0,-49000,2015-01-19,SC,Northbrook,?,2,3,?,5170,470,940,3760,N
122,34,MALE,IN,1000,1220.71,0,PhD,machine-op-inspct,video-games,58600,-28700,2015-02-27,SC,Northbend,?,2,1,YES,8190,1890,1260,5040,N
22,29,MALE,IN,2000,1238.62,6000000,MD,exec-managerial,yachting,0,-56200,2015-02-14,SC,Springfield,?,2,3,?,70800,7080,14160,49560,Y
106,31,FEMALE,IL,2000,1320.75,0,JD,farming-fishing,video-games,54100,0,2015-02-01,WV,Springfield,?,0,3,YES,45630,5070,5070,35490,N
398,58,FEMALE,OH,500,990.98,0,Associate,exec-managerial,cross-fit,0,-57900,2015-02-02,NC,Northbrook,YES,2,1,?,99320,7640,15280,76400,Y
214,41,MALE,IL,500,1398.51,4000000,Masters,tech-support,polo,0,-57100,2015-02-01,NC,Northbend,?,2,0,NO,64000,12800,6400,44800,Y
209,38,FEMALE,OH,500,1355.08,0,MD,other-service,golf,58100,0,2015-01-19,WV,Northbrook,?,1,1,?,47300,4730,4730,37840,N
82,27,MALE,IL,1000,1384.51,0,PhD,adm-clerical,reading,13100,-38200,2015-02-18,SC,Springfield,NO,2,3,?,71680,8960,8960,53760,Y
193,41,FEMALE,OH,500,847.03,0,JD,craft-repair,skydiving,0,0,2015-02-08,SC,Springfield,?,1,0,YES,112320,17280,17280,77760,Y
134,32,FEMALE,OH,1000,1000.06,0,PhD,farming-fishing,base-jumping,0,0,2015-01-09,NY,Columbus,?,1,0,?,82720,7520,15040,60160,N
288,45,MALE,IL,1000,1046.71,0,Masters,priv-house-serv,polo,0,0,2015-02-27,NC,Hillsdale,?,2,1,?,48060,10680,5340,32040,N
104,32,MALE,IN,500,1158.03,0,High School,exec-managerial,kayaking,31900,-44600,2015-01-08,NY,Riverwood,YES,1,3,YES,63570,9780,9780,44010,Y
431,54,FEMALE,OH,1000,1372.27,0,Masters,craft-repair,paintball,17600,0,2015-01-08,WV,Columbus,NO,2,3,?,63240,10540,10540,42160,N
101,33,FEMALE,OH,1000,1053.04,7000000,Masters,other-service,reading,52000,-44500,2015-02-24,NC,Northbrook,NO,1,3,?,54240,9040,9040,36160,Y
375,50,MALE,OH,1000,1275.39,0,Associate,sales,bungie-jumping,0,0,2015-02-12,NY,Riverwood,YES,2,3,NO,37280,0,0,37280,Y
461,61,MALE,OH,2000,1402.75,0,JD,exec-managerial,exercise,0,0,2015-02-18,NY,Columbus,?,2,1,YES,72100,7210,14420,50470,N
428,59,FEMALE,IN,500,1344.36,7000000,JD,prof-specialty,hiking,0,0,2015-02-06,WV,Northbend,?,2,3,NO,6500,1300,650,4550,N
45,38,MALE,IN,1000,1197.71,0,Masters,machine-op-inspct,movies,29000,0,2015-02-14,WV,Springfield,?,2,0,?,78240,13040,13040,52160,N
136,29,FEMALE,OH,500,1203.24,0,JD,transport-moving,video-games,62500,-66900,2015-02-05,NY,Columbus,?,2,0,?,6200,1240,620,4340,N
216,36,FEMALE,IN,1000,1152.4,0,Associate,priv-house-serv,reading,39600,-82400,2015-01-25,VA,Springfield,YES,2,3,?,6160,560,1680,3920,N
278,48,FEMALE,IN,2000,1142.62,7000000,MD,farming-fishing,dancing,0,-54000,2015-01-16,SC,Northbrook,?,2,0,?,76050,11700,11700,52650,N
295,48,FEMALE,OH,1000,1332.07,0,MD,exec-managerial,polo,49700,-59100,2015-01-28,NY,Hillsdale,NO,2,1,YES,86060,13240,13240,59580,N
112,30,FEMALE,OH,1000,1166.54,0,Masters,prof-specialty,sleeping,47700,-59300,2015-01-21,SC,Arlington,YES,2,0,NO,107900,10790,21580,75530,Y
122,34,FEMALE,IL,500,1495.06,0,Masters,prof-specialty,polo,38100,-31400,2015-01-07,PA,Columbus,NO,2,0,YES,99990,18180,18180,63630,N
108,29,FEMALE,IN,1000,1337.92,0,PhD,armed-forces,bungie-jumping,71400,0,2015-02-23,WV,Columbus,NO,2,2,YES,61380,11160,5580,44640,N
14,28,FEMALE,OH,2000,1587.96,0,Associate,craft-repair,board-games,0,-26900,2015-02-14,WV,Riverwood,?,2,1,YES,71280,12960,12960,45360,Y
298,45,MALE,IL,1000,1362.29,0,High School,farming-fishing,yachting,0,-51100,2015-02-27,NY,Northbend,NO,0,0,NO,64000,12800,6400,44800,N
276,46,FEMALE,IL,500,1448.84,0,Masters,machine-op-inspct,bungie-jumping,0,-50000,2015-02-21,SC,Hillsdale,?,0,1,NO,5940,660,660,4620,N
47,37,MALE,IN,2000,1241.97,0,High School,other-service,movies,75400,0,2015-01-05,NY,Hillsdale,NO,1,0,NO,6700,670,670,5360,N
