Age,Agency_Code,Type,Commision,Channel,Duration,Sales,Destination,Claimed,Product_Name,Claimed_Amount
40,EPX,Travel Agency,0,Online,17,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,77,56,EUROPE,No,Cancellation Plan,0
29,JZI,Airlines,6.3,Online,4,18,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,14,28,ASIA,No,Customised Plan,0
30,CWT,Travel Agency,16.25,Online,5,25,ASIA,Yes,Gold Plan,5974
33,C2B,Airlines,7.38,Online,11,29.5,ASIA,Yes,Bronze Plan,4828
48,C2B,Airlines,3.15,Online,75,11.24,ASIA,No,Customised Plan,0
39,EPX,Travel Agency,0,Online,3,20,ASIA,Yes,Customised Plan,4213
36,EPX,Travel Agency,0,Online,3,24,ASIA,No,Cancellation Plan,0
32,C2B,Airlines,54,Online,366,216,ASIA,Yes,Silver Plan,5484
26,C2B,Airlines,40.25,Online,366,161,ASIA,Yes,Silver Plan,5031
36,EPX,Travel Agency,0,Online,35,43,ASIA,No,Customised Plan,0
52,JZI,Airlines,11.55,Online,90,33,ASIA,No,Bronze Plan,0
36,JZI,Airlines,7.7,Online,24,22,ASIA,No,Bronze Plan,0
32,EPX,Travel Agency,0,Online,22,17,ASIA,Yes,Cancellation Plan,3775
28,C2B,Airlines,8.38,Online,71,33.5,ASIA,Yes,Bronze Plan,4731
40,C2B,Airlines,63.21,Online,364,252.85,ASIA,Yes,Silver Plan,5297
36,EPX,Travel Agency,0,Online,13,10,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,20,23,ASIA,No,Cancellation Plan,0
25,C2B,Airlines,7.38,Online,20,29.5,ASIA,No,Bronze Plan,0
33,CWT,Travel Agency,41.58,Online,31,69.3,ASIA,Yes,Customised Plan,4272
36,EPX,Travel Agency,0,Online,17,60,ASIA,Yes,Cancellation Plan,3554
36,EPX,Travel Agency,0,Online,15,28,ASIA,No,Customised Plan,0
26,C2B,Airlines,7.64,Online,23,30.55,ASIA,No,Bronze Plan,0
26,C2B,Airlines,10.5,Online,15,42,ASIA,Yes,Silver Plan,5163
36,EPX,Travel Agency,0,Online,36,19,ASIA,No,Cancellation Plan,0
38,JZI,Airlines,6.3,Online,6,18,ASIA,No,Bronze Plan,0
30,C2B,Airlines,15,Online,27,60,ASIA,Yes,Bronze Plan,4804
42,EPX,Travel Agency,0,Online,22,112,Americas,Yes,Customised Plan,4393
30,EPX,Travel Agency,0,Online,35,95,Americas,Yes,Customised Plan,4097
28,C2B,Airlines,23.5,Online,42,94,ASIA,Yes,Bronze Plan,4874
25,EPX,Travel Agency,0,Online,37,10,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,7,30,ASIA,No,Customised Plan,0
51,C2B,Airlines,48.3,Online,365,193.2,ASIA,Yes,Silver Plan,5266
36,EPX,Travel Agency,0,Online,38,20,ASIA,No,Customised Plan,0
24,C2B,Airlines,22.13,Online,32,88.5,ASIA,Yes,Silver Plan,5380
24,C2B,Airlines,4.8,Online,3,19.2,ASIA,Yes,Bronze Plan,4613
36,EPX,Travel Agency,0,Online,81,10,ASIA,No,Cancellation Plan,0
24,EPX,Travel Agency,0,Online,96,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,28,25,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,44,11,ASIA,No,Cancellation Plan,0
59,C2B,Airlines,9.75,Online,28,39,ASIA,Yes,Silver Plan,5150
28,C2B,Airlines,6.75,Online,6,27,ASIA,No,Silver Plan,0
40,EPX,Travel Agency,0,Online,57,27,ASIA,No,Cancellation Plan,0
51,EPX,Travel Agency,0,Online,51,23,ASIA,No,Cancellation Plan,0
31,EPX,Travel Agency,0,Online,40,75,Americas,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,26,40,ASIA,Yes,Customised Plan,4104
41,C2B,Airlines,11.75,Online,21,47,ASIA,Yes,Bronze Plan,4970
56,C2B,Airlines,52.33,Online,367,209.3,ASIA,No,Silver Plan,0
28,C2B,Airlines,5.25,Online,12,21,ASIA,Yes,Bronze Plan,4919
25,EPX,Travel Agency,0,Online,4,20,ASIA,No,Customised Plan,0
59,JZI,Airlines,9.1,Online,12,150,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,2,26,EUROPE,No,Cancellation Plan,0
35,EPX,Travel Agency,0,Online,8,10,ASIA,No,Cancellation Plan,0
58,EPX,Travel Agency,0,Online,36,20,ASIA,Yes,Customised Plan,4048
73,C2B,Airlines,8.88,Online,53,35.5,ASIA,No,Silver Plan,0
36,EPX,Travel Agency,0,Online,9,10,ASIA,No,Cancellation Plan,0
40,C2B,Airlines,83.25,Online,365,333,ASIA,Yes,Gold Plan,5827
36,EPX,Travel Agency,0,Online,12,37,ASIA,No,Cancellation Plan,0
38,JZI,Airlines,6.3,Online,8,18,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,6,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,110,69,EUROPE,No,Customised Plan,0
47,EPX,Travel Agency,0,Online,58,28,ASIA,No,Customised Plan,0
35,EPX,Travel Agency,0,Online,65,43,ASIA,No,Customised Plan,0
48,C2B,Airlines,0.38,Online,100,1.35,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,186,23,ASIA,No,Customised Plan,0
52,C2B,Airlines,26.63,Online,39,106.5,ASIA,Yes,Silver Plan,5401
32,C2B,Airlines,63.21,Online,367,252.85,ASIA,Yes,Silver Plan,5393
48,C2B,Airlines,0.77,Online,48,2.76,ASIA,No,Customised Plan,0
38,CWT,Travel Agency,23.76,Online,46,39.6,EUROPE,Yes,Customised Plan,4078
36,EPX,Travel Agency,0,Online,7,112,EUROPE,No,Customised Plan,0
25,EPX,Travel Agency,0,Online,15,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,9,29,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,266,10,ASIA,Yes,Cancellation Plan,3587
37,C2B,Airlines,6,Online,4,15,ASIA,No,Bronze Plan,0
35,EPX,Travel Agency,0,Online,72,25,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,61,80,EUROPE,No,Customised Plan,0
39,C2B,Airlines,63.21,Online,365,252.85,ASIA,Yes,Silver Plan,5386
36,EPX,Travel Agency,0,Online,43,20,ASIA,Yes,Customised Plan,4401
50,CWT,Travel Agency,23.76,Online,19,39.6,ASIA,Yes,Customised Plan,4460
36,EPX,Travel Agency,0,Online,17,11,ASIA,No,Cancellation Plan,0
38,C2B,Airlines,5.25,Online,18,21,ASIA,Yes,Bronze Plan,4614
22,CWT,Travel Agency,53.46,Online,29,89.1,Americas,No,Customised Plan,0
42,JZI,Airlines,12.25,Online,146,35,Americas,No,Bronze Plan,0
32,CWT,Travel Agency,17.55,Online,3,27,ASIA,Yes,Gold Plan,5924
25,C2B,Airlines,20,Online,10,50,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,59,38,ASIA,No,Cancellation Plan,0
20,EPX,Travel Agency,0,Online,9,10,ASIA,No,Cancellation Plan,0
31,CWT,Travel Agency,17.82,Online,33,29.7,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,3,12,ASIA,No,Cancellation Plan,0
29,CWT,Travel Agency,77.22,Online,46,128.7,Americas,No,Customised Plan,0
37,CWT,Travel Agency,11.88,Online,19,19.8,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,6,32,ASIA,No,Cancellation Plan,0
31,CWT,Travel Agency,11.88,Online,2,19.8,EUROPE,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,5,20,ASIA,No,Customised Plan,0
53,JZI,Airlines,12.95,Online,93,0,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,35,80,ASIA,No,Cancellation Plan,0
44,CWT,Travel Agency,149.37,Online,366,229.8,Americas,Yes,Silver Plan,5358
29,JZI,Airlines,12.25,Online,14,35,ASIA,No,Bronze Plan,0
38,EPX,Travel Agency,0,Online,56,20,ASIA,Yes,Customised Plan,4179
31,CWT,Travel Agency,23.76,Online,24,39.6,ASIA,Yes,Customised Plan,4244
28,EPX,Travel Agency,0,Online,46,82,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,16,10,ASIA,No,Cancellation Plan,0
28,CWT,Travel Agency,41.58,Online,36,191,EUROPE,Yes,Customised Plan,4076
36,EPX,Travel Agency,0,Online,6,17,ASIA,Yes,Cancellation Plan,3877
68,EPX,Travel Agency,0,Online,50,87,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,2,38,ASIA,No,Cancellation Plan,0
30,CWT,Travel Agency,29.7,Online,56,49.5,EUROPE,No,Customised Plan,0
68,CWT,Travel Agency,27.3,Online,5,42,ASIA,No,Gold Plan,0
36,EPX,Travel Agency,0,Online,5,15,ASIA,No,Cancellation Plan,0
53,CWT,Travel Agency,17.82,Online,35,29.7,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,43,49,ASIA,No,Customised Plan,0
22,CWT,Travel Agency,28.5,Online,34,75,EUROPE,No,Bronze Plan,0
25,C2B,Airlines,4.5,Online,5,18,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,2,82,ASIA,No,Customised Plan,0
36,C2B,Airlines,5.85,Online,11,23.4,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,3,24,EUROPE,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,8,60,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,99,80,EUROPE,No,Cancellation Plan,0
34,EPX,Travel Agency,0,Online,19,19,ASIA,No,Cancellation Plan,0
31,CWT,Travel Agency,11.88,Online,13,19.8,Americas,No,Customised Plan,0
48,CWT,Travel Agency,41.42,Online,33,109,EUROPE,No,Bronze Plan,0
79,CWT,Travel Agency,10.5,Offline,22,30,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,3,24,ASIA,No,Customised Plan,0
53,CWT,Travel Agency,17.82,Online,4,29.7,EUROPE,No,Customised Plan,0
47,CWT,Travel Agency,41.58,Online,23,69.3,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,2,0,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,135,15,ASIA,No,Cancellation Plan,0
40,C2B,Airlines,20.13,Online,382,80.5,ASIA,Yes,Bronze Plan,4659
44,CWT,Travel Agency,49.73,Online,31,167,EUROPE,Yes,Gold Plan,5913
36,EPX,Travel Agency,0,Online,47,20,ASIA,No,Customised Plan,0
19,CWT,Travel Agency,10.5,Offline,22,30,ASIA,No,Customised Plan,0
40,C2B,Airlines,54,Online,364,216,ASIA,Yes,Silver Plan,5070
36,EPX,Travel Agency,0,Online,40,31,ASIA,No,Customised Plan,0
40,C2B,Airlines,4.25,Online,16,17,ASIA,No,Bronze Plan,0
21,EPX,Travel Agency,0,Online,23,29,Americas,No,Cancellation Plan,0
25,C2B,Airlines,48.42,Online,74,193.7,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,27,33,ASIA,Yes,Customised Plan,4067
36,EPX,Travel Agency,0,Online,34,61,ASIA,No,Customised Plan,0
50,C2B,Airlines,5.38,Online,3,21.5,ASIA,No,Gold Plan,0
25,C2B,Airlines,13.63,Online,13,54.5,ASIA,Yes,Silver Plan,5385
36,EPX,Travel Agency,0,Online,81,20,ASIA,No,Customised Plan,0
66,CWT,Travel Agency,10.5,Offline,47,30,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,14,20,ASIA,No,Customised Plan,0
24,C2B,Airlines,9.75,Online,11,39,ASIA,Yes,Silver Plan,5245
36,EPX,Travel Agency,0,Online,11,35,ASIA,No,Customised Plan,0
25,CWT,Travel Agency,53.46,Online,43,89.1,EUROPE,No,Customised Plan,0
32,C2B,Airlines,13.63,Online,13,54.5,ASIA,Yes,Silver Plan,5077
36,EPX,Travel Agency,0,Online,7,112,ASIA,No,Customised Plan,0
39,C2B,Airlines,22,Online,16,88,ASIA,Yes,Gold Plan,5603
53,CWT,Travel Agency,106.92,Online,64,178.2,Americas,Yes,Customised Plan,4457
36,EPX,Travel Agency,0,Online,59,28,ASIA,No,Customised Plan,0
31,CWT,Travel Agency,83.16,Online,21,138.6,EUROPE,Yes,Customised Plan,4305
60,JZI,Airlines,6.3,Online,18,18,ASIA,No,Bronze Plan,0
40,CWT,Travel Agency,47.52,Online,53,79.2,Americas,No,Customised Plan,0
40,CWT,Travel Agency,23.76,Online,10,39.6,EUROPE,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,56,24,ASIA,Yes,Customised Plan,4350
28,C2B,Airlines,54,Online,365,26,ASIA,No,Silver Plan,0
23,C2B,Airlines,69.71,Online,379,278.85,ASIA,Yes,Gold Plan,5582
23,EPX,Travel Agency,0,Online,22,11,ASIA,No,Cancellation Plan,0
41,C2B,Airlines,64.8,Online,365,259.2,ASIA,Yes,Silver Plan,5095
69,CWT,Travel Agency,41.58,Online,26,69.3,Americas,No,Customised Plan,0
37,EPX,Travel Agency,0,Online,3,20,ASIA,No,Customised Plan,0
24,CWT,Travel Agency,36.4,Online,22,56,Americas,No,Gold Plan,0
28,EPX,Travel Agency,0,Online,5,74,Americas,No,Customised Plan,0
28,CWT,Travel Agency,0,Offline,367,97,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,9,48,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,9,43,ASIA,No,Cancellation Plan,0
31,C2B,Airlines,5,Online,13,20,ASIA,No,Bronze Plan,0
20,JZI,Airlines,12.25,Online,26,35,ASIA,No,Bronze Plan,0
31,CWT,Travel Agency,17.82,Online,27,29.7,Americas,No,Customised Plan,0
36,C2B,Airlines,9.75,Online,70,39,ASIA,Yes,Silver Plan,5091
37,JZI,Airlines,9.1,Online,56,26,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,152,50,EUROPE,No,Cancellation Plan,0
35,JZI,Airlines,15.4,Online,61,44,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,112,60,EUROPE,No,Cancellation Plan,0
27,C2B,Airlines,40.25,Online,380,161,ASIA,Yes,Silver Plan,5388
36,EPX,Travel Agency,0,Online,42,26,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,42,58,Americas,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,189,78,EUROPE,No,Cancellation Plan,0
47,CWT,Travel Agency,23.76,Online,35,39.6,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,77,41,ASIA,No,Customised Plan,0
51,C2B,Airlines,63.21,Online,365,252.85,ASIA,Yes,Silver Plan,5024
68,EPX,Travel Agency,0,Online,60,29,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,30,21,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,15,20,ASIA,No,Customised Plan,0
48,C2B,Airlines,3.8,Online,14,13.57,ASIA,No,Customised Plan,0
46,CWT,Travel Agency,17.82,Online,29,29.7,EUROPE,No,Customised Plan,0
42,C2B,Airlines,54,Online,364,216,ASIA,Yes,Silver Plan,5269
47,EPX,Travel Agency,0,Online,18,20,ASIA,No,Customised Plan,0
28,EPX,Travel Agency,0,Online,41,20,ASIA,No,Customised Plan,0
25,C2B,Airlines,6.75,Online,11,27,ASIA,Yes,Bronze Plan,4604
44,C2B,Airlines,4.25,Online,7,17,ASIA,Yes,Bronze Plan,4638
31,C2B,Airlines,12.13,Online,12,48.5,ASIA,Yes,Silver Plan,5058
21,C2B,Airlines,7.38,Online,23,29.5,ASIA,No,Silver Plan,0
27,CWT,Travel Agency,17.82,Online,16,29.7,Americas,No,Customised Plan,0
52,JZI,Airlines,10.5,Online,18,30,ASIA,No,Bronze Plan,0
40,CWT,Travel Agency,23.76,Online,32,39.6,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,13,30,EUROPE,No,Customised Plan,0
44,JZI,Airlines,6.3,Online,6,18,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,9,112,ASIA,No,Customised Plan,0
43,EPX,Travel Agency,0,Online,11,20,ASIA,No,Customised Plan,0
45,C2B,Airlines,63.21,Online,379,252.85,ASIA,Yes,Silver Plan,5225
32,C2B,Airlines,126.75,Online,90,507,ASIA,Yes,Silver Plan,5110
38,EPX,Travel Agency,0,Online,40,58,Americas,Yes,Cancellation Plan,3822
36,EPX,Travel Agency,0,Online,39,156,ASIA,No,Customised Plan,0
68,CWT,Travel Agency,9.57,Offline,89,29,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,3,10,ASIA,No,Cancellation Plan,0
31,CWT,Travel Agency,41.58,Online,96,69.3,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,75,63,ASIA,Yes,Customised Plan,4430
39,CWT,Travel Agency,210.21,Online,368,323.4,Americas,Yes,Gold Plan,5862
34,C2B,Airlines,8.88,Online,26,35.5,ASIA,Yes,Silver Plan,5218
45,JZI,Airlines,9.1,Online,11,26,ASIA,No,Bronze Plan,0
50,EPX,Travel Agency,0,Online,16,80,Americas,No,Cancellation Plan,0
30,JZI,Airlines,6.3,Online,13,18,ASIA,No,Bronze Plan,0
29,CWT,Travel Agency,23.76,Online,18,39.6,Americas,No,Customised Plan,0
45,JZI,Airlines,9.1,Online,7,26,ASIA,No,Bronze Plan,0
32,C2B,Airlines,63.21,Online,368,252.85,ASIA,No,Silver Plan,0
41,EPX,Travel Agency,0,Online,8,30,ASIA,Yes,Customised Plan,4276
33,C2B,Airlines,5,Online,6,20,ASIA,No,Bronze Plan,0
34,C2B,Airlines,54,Online,365,216,ASIA,No,Silver Plan,0
57,JZI,Airlines,9.1,Online,9,26,ASIA,Yes,Bronze Plan,4965
35,C2B,Airlines,63.21,Online,368,252.85,ASIA,Yes,Silver Plan,5029
36,EPX,Travel Agency,0,Online,9,37,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,95,20,ASIA,Yes,Customised Plan,4010
25,C2B,Airlines,31.2,Online,25,78,ASIA,Yes,Bronze Plan,4870
48,C2B,Airlines,2.66,Online,2,7.6,ASIA,No,Customised Plan,0
33,C2B,Airlines,4,Online,3,48,ASIA,No,Bronze Plan,0
29,EPX,Travel Agency,0,Online,17,35,ASIA,No,Customised Plan,0
45,C2B,Airlines,10.38,Online,383,41.5,ASIA,No,Silver Plan,0
36,C2B,Airlines,18,Online,62,72,ASIA,No,Silver Plan,0
53,C2B,Airlines,72.94,Online,374,291.75,ASIA,Yes,Silver Plan,5484
48,C2B,Airlines,54,Online,367,216,ASIA,Yes,Silver Plan,5036
48,C2B,Airlines,0.29,Online,367,1.03,ASIA,No,Customised Plan,0
35,EPX,Travel Agency,0,Online,2,20,ASIA,No,Customised Plan,0
32,C2B,Airlines,4,Online,4,16,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,42,22,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,24,25,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,10,34,ASIA,No,Customised Plan,0
59,EPX,Travel Agency,0,Online,46,17,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,60,206,EUROPE,No,Cancellation Plan,0
41,JZI,Airlines,24.15,Online,34,69,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,4,10,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,8,10,ASIA,No,Cancellation Plan,0
27,EPX,Travel Agency,0,Online,55,166,Americas,Yes,Cancellation Plan,3715
50,C2B,Airlines,63.21,Online,374,252.85,ASIA,No,Silver Plan,0
36,EPX,Travel Agency,0,Online,18,27,ASIA,No,Cancellation Plan,0
27,C2B,Airlines,54,Online,401,216,ASIA,Yes,Silver Plan,5362
33,C2B,Airlines,54,Online,365,216,ASIA,Yes,Silver Plan,5448
63,JZI,Airlines,7.7,Online,6,22,ASIA,No,Bronze Plan,0
30,EPX,Travel Agency,0,Online,32,32,ASIA,No,Customised Plan,0
32,C2B,Airlines,46.96,Online,365,187.85,ASIA,Yes,Silver Plan,5324
36,EPX,Travel Agency,0,Online,27,28,ASIA,No,Cancellation Plan,0
57,C2B,Airlines,5,Online,11,20,ASIA,No,Bronze Plan,0
53,C2B,Airlines,5.63,Online,6,22.5,ASIA,No,Silver Plan,0
36,EPX,Travel Agency,0,Online,90,46,ASIA,Yes,Customised Plan,4311
36,EPX,Travel Agency,0,Online,17,43,ASIA,No,Cancellation Plan,0
31,CWT,Travel Agency,5.94,Online,6,9.9,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,13,203,ASIA,No,Cancellation Plan,0
44,JZI,Airlines,15.4,Online,25,44,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,145,35,ASIA,No,Cancellation Plan,0
39,C2B,Airlines,40.25,Online,366,161,ASIA,No,Silver Plan,0
23,C2B,Airlines,20,Online,9,50,ASIA,No,Bronze Plan,0
25,EPX,Travel Agency,0,Online,21,10,ASIA,No,Cancellation Plan,0
37,JZI,Airlines,10.5,Online,62,30,ASIA,No,Bronze Plan,0
56,CWT,Travel Agency,59.4,Online,13,99,EUROPE,Yes,Customised Plan,4239
36,EPX,Travel Agency,0,Online,4,33,ASIA,No,Cancellation Plan,0
39,C2B,Airlines,5.88,Online,6,23.5,ASIA,Yes,Bronze Plan,4735
47,C2B,Airlines,22.13,Online,38,88.5,ASIA,No,Silver Plan,0
47,EPX,Travel Agency,0,Online,3,35,ASIA,No,Customised Plan,0
33,C2B,Airlines,18,Online,50,72,ASIA,Yes,Bronze Plan,4959
36,EPX,Travel Agency,0,Online,35,11,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,24,21,ASIA,Yes,Customised Plan,4493
53,C2B,Airlines,13.63,Online,30,54.5,ASIA,Yes,Silver Plan,5482
42,C2B,Airlines,12.13,Online,13,48.5,ASIA,Yes,Silver Plan,5050
36,EPX,Travel Agency,0,Online,39,26,ASIA,No,Cancellation Plan,0
57,C2B,Airlines,83.25,Online,366,333,ASIA,No,Gold Plan,0
35,EPX,Travel Agency,0,Online,3,20,ASIA,No,Customised Plan,0
30,EPX,Travel Agency,0,Online,50,112,Americas,Yes,Customised Plan,4373
36,EPX,Travel Agency,0,Online,60,34,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,5,20,ASIA,No,Cancellation Plan,0
44,C2B,Airlines,63.21,Online,364,252.85,ASIA,Yes,Silver Plan,5115
36,EPX,Travel Agency,0,Online,35,10,ASIA,No,Cancellation Plan,0
25,C2B,Airlines,12.4,Online,5,31,ASIA,No,Bronze Plan,0
43,JZI,Airlines,24.15,Online,33,69,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,13,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,80,32,ASIA,Yes,Customised Plan,4345
54,CWT,Travel Agency,100.98,Online,18,0,Americas,No,Customised Plan,0
22,C2B,Airlines,3.38,Online,16,13.5,ASIA,Yes,Bronze Plan,4852
32,C2B,Airlines,10.5,Online,83,42,ASIA,No,Silver Plan,0
39,JZI,Airlines,7.7,Online,27,22,ASIA,Yes,Bronze Plan,4939
30,EPX,Travel Agency,0,Online,28,185,Americas,No,Cancellation Plan,0
46,JZI,Airlines,48.3,Online,25,138,Americas,Yes,Bronze Plan,4543
36,EPX,Travel Agency,0,Online,5,20,ASIA,No,Customised Plan,0
39,CWT,Travel Agency,59.4,Online,11,99,Americas,No,Customised Plan,0
33,C2B,Airlines,6.13,Online,4,24.5,ASIA,No,Silver Plan,0
24,EPX,Travel Agency,0,Online,42,24,ASIA,No,Cancellation Plan,0
37,CWT,Travel Agency,17.82,Online,18,29.7,ASIA,No,Customised Plan,0
26,EPX,Travel Agency,0,Online,32,21,ASIA,No,Customised Plan,0
64,CWT,Travel Agency,23.76,Online,22,39.6,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,40,74,Americas,No,Customised Plan,0
42,C2B,Airlines,5,Online,9,20,ASIA,Yes,Bronze Plan,4700
71,C2B,Airlines,12.75,Online,7,51,ASIA,No,Gold Plan,0
46,JZI,Airlines,15.75,Online,9,45,ASIA,No,Bronze Plan,0
22,C2B,Airlines,11.88,Online,14,190,ASIA,Yes,Silver Plan,5052
36,EPX,Travel Agency,0,Online,2,20,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,15,23,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,1,47,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,52,11,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,114,31,ASIA,No,Cancellation Plan,0
